Month,Car Class,MDBF,12-Month Average MDBF,Total Miles,Number of Failures,Number of Cars
2023-09,ADIVISION,"160,298",161061,12022361,75,2890
2023-09,BDIVISION,"101,996",108350,15095407,148,3563
2023-09,FLEET,"121,604",126416,27117768,223,6453
2023-09,R142,"226,878",179710,4537563,20,1025
2023-09,R142A,"103,792",156080,934132,9,220
2023-09,R143,"430,544",272543,861088,2,212
2023-09,R160,"312,417",258143,6873168,22,1662
2023-09,R179,"220,515",241515,1323089,6,318
2023-09,R188-CONVERSION,"190,256",246172,1331792,7,380
2023-09,R188-NEW,"494,200",323696,494200,1,126
2023-09,R46,"35,751",44871,3360615,94,746
2023-09,R62,"143,398",152075,1290578,9,315
2023-09,R62A,"118,417",124135,3434096,29,824
2023-09,R68,"148,881",120847,1935456,13,425
2023-09,R68A,"67,454",68456,741991,11,200
2023-08,ADIVISION,"175,040",160053,12952966,74,2890
2023-08,BDIVISION,"92,114",110386,16580561,180,3563
2023-08,FLEET,"116,274",127662,29533527,254,6453
2023-08,R142,"287,364",178310,4885195,17,1025
2023-08,R142A,"143,787",170853,1006506,7,220
2023-08,R143,"172,429",273150,862145,5,212
2023-08,R160,"243,229",264423,7540098,31,1662
2023-08,R179,"214,912",240914,1504383,7,318
2023-08,R188-CONVERSION,"161,295",251091,1451651,9,380
2023-08,R188-NEW,"469,321",306099,469321,1,126
2023-08,R46,"38,537",45878,3853741,100,746
2023-08,R62,"113,033",150104,1356401,12,315
2023-08,R62A,"135,139",121153,3783891,28,824
2023-08,R68,"81,257",120063,1950166,24,425
2023-08,R68A,"66,925",71219,870028,13,200
2023-07,ADIVISION,"138,298",158130,12446840,90,2890
2023-07,BDIVISION,"93,760",113638,16126704,172,3563
2023-07,FLEET,"109,059",129545,28573544,262,6453
2023-07,R142,"155,730",175695,4671902,30,1025
2023-07,R142A,"118,488",175769,947906,8,220
2023-07,R160,"228,079",271769,7298524,32,1662
2023-07,R179,"124,215",252967,1490574,12,318
2023-07,R188-CONVERSION,"202,629",237411,1418404,7,380
2023-07,R46,"40,306",46963,3748460,93,746
2023-07,R62,"125,414",149361,1379552,11,315
2023-07,R62A,"111,489",119681,3567660,32,824
2023-07,R68,"113,473",124256,1929034,17,425
2023-07,R68A,"71,208",76243,783291,11,200
2023-07,R143,"125,260",272352,876821,7,212
2023-07,R188-NEW,"230,708",307385,461416,2,126
2023-06,ADIVISION,192438,161980,12700940,66,2890
2023-06,BDIVISION,101023,115913,16264749,161,3563
2023-06,FLEET,127602,132362,28965689,227,6453
2023-06,R142,207167,180602,4764830,23,1025
2023-06,R142A,200082,180220,1000410,5,220
2023-06,R160,346898,282784,7284866,21,1662
2023-06,R179,121190,284998,1454279,12,318
2023-06,R188-CONVERSION,1404922,244783,1404922,1,380
2023-06,R46,37266,47251,3801165,102,746
2023-06,R62,141185,150199,1411845,10,315
2023-06,R62A,134812,122501,3639926,27,824
